id,place
1,ABDASA
2,AHMEDABAD
3,AHWA
4,AMIRGADH
5,AMOD
6,AMRELI
7,ANAND
8,ANJAR
9,ANKLAV
10,ANKLESHWAR
11,BABRA
12,BAGASARA
13,BAKROL
14,BALASINOR
15,BARDOLI
16,BARWALA
17,BAVLA
18,BAYAD
19,BECHARAJI
20,BHABHAR
21,BHACHAU
22,BHANVAD
23,BHARUCH
24,BHAVNAGAR
25,BHESANA
26,BHILODA
27,BHUJ
28,BODELI
29,BORSAD
30,BOTAD
31,CHANASMA
32,CHANGA
33,CHHOTA UDEPUR
34,CHIKHLI
35,CHORYASI
36,CHOTILA
37,CHUDA
38,DABHOI
39,DAHOD
40,DANTA
41,DANTIWADA
42,DASKROI
43,DEDIAPADA
44,DEESA
45,DEHGAM
46,DEODAR
47,DESAR
48,DETROJ-RAMPURA
49,DEVGADH BARIA
50,DHANDHUKA
51,DHANERA
52,DHANPUR
53,DHANSURA
54,DHARAMPUR
55,DHARI
56,DHARMAJ
57,DHOLERA
58,DHOLKA
59,DHORAJI
60,DHRANGADHRA
61,DHROL
62,DOLVAN
63,FATEPURA
64,GADHADA
65,GADHINAGAR
66,GALTESHWAR
67,GANDEVI
68,GANDHIDHAM
69,GANDHINAGAR
70,GARBADA
71,GARIADHAR
72,GARUDESHWAR
73,GHOGHA
74,GHOGHAMBA
75,GIR-GADHADA
76,GODHARA
77,GODHRA
78,GOJARIYA
79,GONDAL
80,HADALA
81,HALOL
82,HALVAD
83,HANSOT
84,HARIJ
85,HIMATNAGAR
86,IDAR
87,JAFRABAD
88,JALALPORE
89,JAMBUGHODA
90,JAMBUSAR
91,JAMJODHPUR
92,JAMKANDORNA
93,JAMNAGAR
94,JASDAN
95,JESAR
96,JETPUR
97,JETPUR PAVI
98,JHAGADIA
99,JHALOD
100,JODIYA
101,JOTANA
102,JUNAGADH
103,JUNAGADH CITY
104,JUNAGADH RURAL
105,KADANA
106,KADI
107,KALAVAD
108,KALOL
109,KALYANPUR
110,KAMREJ
111,KANKREJ
112,KAPADVANJ
113,KAPRADA
114,KARAMSAD
115,KARJAN
116,KATHLAL
117,KAVANT
118,KERA
119,KESHOD
120,KHAMBHA
121,KHAMBHALIA
122,KHAMBHAT
123,KHANPUR
124,KHEDA
125,KHEDBRAHMA
126,KHERALU
127,KHERGAM
128,KIM
129,KODINAR
130,KOSAMBA
131,KOTADA SANGANI
132,KUKARMUNDA
133,KUNKAVAV VADIA
134,KUTIYANA
135,LAKHANI
136,LAKHPAT
137,LAKHTAR
138,LALPUR
139,LATHI
140,LILIA
141,LIMBDI
142,LIMKHEDA
143,LOD HIKA
144,LODHIKA
145,LUNAWADA
146,MAHUDHA
147,MAHUVA
148,MAKHIYALA
149,MALIYA
150,MALPUR
151,MANAVADAR
152,MANDAL
153,MANDVI
154,MANGROL
155,MANSA
156,MATAR
157,MEGHRAJ
158,MEHMEDABAD
159,MEHSANA
160,MENDARDA
161,MODASA
162,MORBI
163,MORWA HADAF
164,MULI
165,MUNDRA
166,NADIAD
167,NAGPUR(MAHARAHSTRA)
168,NAKHATRANA
169,NANDOD
170,NASVADI
171,NAVSARI
172,NETRANG
173,NIZAR
174,OKHAMANDAL
175,OLPAD
176,PADDHARI
177,PADRA
178,PALANPUR
179,PALITANA
180,PALSANA
181,PANCHMAHAL
182,PARDI
183,PATAN
184,PATAN-VERAVAL
185,PETLAD
186,PORBANDAR
187,POSHINA
188,PRANTIJ
189,RADHANPUR
190,RAJKOT
191,RAJULA
192,RANAVAV
193,RANPUR
194,RAPAR
195,SABARKANTHA
196,SAGBARA
197,SAMI
198,SANAND
199,SANJELI
200,SANKHEDA
201,SANKHESWAR
202,SANTALPUR
203,SANTRAMPUR
204,SARASVATI
205,SATLASANA
206,SAVALI
207,SAVARKUNDLA
208,SAYLA
209,SHEHERA
210,SIDDHPUR
211,SIHOR
212,SINGVAD
213,SINOR
214,SOJITRA
215,SONGADH
216,SUBIR
217,SUIGAM
218,SURAT
219,SUTRAPADA
220,TALAJA
221,TALOD
222,TANKARA
223,TARAPUR
224,THANGADH
225,THARAD
226,THASRA
227,TILAKWADA
228,UCHHAL
229,UMARPADA
230,UMBERGAON
231,UMRAKH
232,UMRALA
233,UMRETH
234,UNA
235,UNJHA
236,UPLETA
237,V.V.NAGAR
238,VADALI
239,VADGAM
240,VADNAGAR
241,VADODARA
242,VAGHODIA
243,VAGRA
244,VALIA
245,VALLABHIPUR
246,VALOD
247,VALSAD
248,VANSDA
249,VANTHALI
250,VAPI
251,VASAD
252,VASO
253,VAV
254,VIJAPUR
255,VIJAYNAGAR
256,VINCHCHIYA
257,VIRAMGAM
258,VIRPUR
259,VISAVADAR
260,VISNAGAR
261,WADHWAN
262,WAGHAI
263,WANKANER
