id,name
1,ANDRA PRADESH
2,ARUNACHAL PRADESH
3,ASSAM
4,BIHAR
5,CHHATTISGARH
6,GOA
7,GUJARAT
8,HARYANA
9,HIMACHAL PRADESH
10,MIZORAM
11,JAMMU & KASHMIR
12,JHARKHAND
13,KARNATAKA
14,KERALA
15,MADHYA PRADESH
16,MAHARASHTRA
17,MANIPUR
18,MEGHALAYA
19,NAGALAND
20,ORISSA
21,PUNJAB
22,RAJASTHAN
23,SIKKIM
24,TAMIL NADU
25,TRIPURA
26,UTTAR PRADESH
27,UTTARANCHAL
28,WEST BENGAL
29,ANDAMAN & NICOBAR ISLANDS
30,CHANDIGARH
31,DADRA & NAGAR HAVELI AND DAMAN & DIU
32,DELHI
33,LAKSHDWEEP
34,PUDUCHERRY
35,LADAKH
