district_name,taluka_name
AHMEDABAD,BAVLA
AHMEDABAD,DASKROI
AHMEDABAD,DETROJ-RAMPURA
AHMEDABAD,DHANDHUKA
AHMEDABAD,DHOLERA
AHMEDABAD,DHOLKA
AHMEDABAD,MANDAL
AHMEDABAD,SANAND
AHMEDABAD,VIRAMGAM
AMRELI,AMRELI
AMRELI,BABRA
AMRELI,BAGASARA
AMRELI,DHARI
AMRELI,JAFRABAD
AMRELI,KHAMBHA
AMRELI,KUNKAVAV VADIA
AMRELI,LATHI
AMRELI,LILIA
AMRELI,RAJULA
AMRELI,SAVARKUNDLA
ANAND,ANAND
ANAND,ANKLAV
ANAND,BORSAD
ANAND,KHAMBHAT
ANAND,PETLAD
ANAND,SOJITRA
ANAND,TARAPUR
ANAND,UMRETH
ARAVALLI,BAYAD
ARAVALLI,BHILODA
ARAVALLI,DHANSURA
ARAVALLI,MALPUR
ARAVALLI,MEGHRAJ
ARAVALLI,MODASA
